Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2024,2025-02-22,Wolfsburg,Bochum,1,1,2.16138,1.46609
2024,2025-03-01,Bochum,Hoffenheim,0,1,1.4452,0.525952
2024,2025-03-01,Werder Bremen,Wolfsburg,1,2,2.10317,1.11674
2024,2025-03-02,Union Berlin,Holstein Kiel,0,1,0.886081,0.692509
2024,2025-03-02,Augsburg,Freiburg,0,0,2.222,0.799243
2024,2025-03-08,Bayern Munich,Bochum,2,3,2.72891,1.36274
2024,2025-03-15,Union Berlin,Bayern Munich,1,1,0.8044,1.83549
2024,2025-03-15,Augsburg,Wolfsburg,1,0,0.598968,0.763636
2024,2025-03-29,Hoffenheim,Augsburg,1,1,1.94509,0.688621
2024,2025-03-29,Holstein Kiel,Werder Bremen,0,3,0.56476,1.48157
2024,2025-03-30,Freiburg,Union Berlin,1,2,1.01023,1.38632
2024,2025-04-04,Augsburg,Bayern Munich,1,3,0.567653,1.91653
2024,2025-04-06,Union Berlin,Wolfsburg,1,0,1.55071,1.79618
2024,2025-04-12,Bochum,Augsburg,1,2,1.86097,1.02536
2024,2025-04-19,Freiburg,Hoffenheim,3,2,1.54968,1.94701
2024,2025-04-19,Werder Bremen,Bochum,1,0,2.70919,0.4947
2024,2025-04-26,Wolfsburg,Freiburg,0,1,0.288019,1.95821
2024,2025-04-27,Bochum,Union Berlin,1,1,1.5178,0.498974
2024,2025-05-03,Union Berlin,Werder Bremen,2,2,1.35336,1.35783
2024,2025-05-04,Augsburg,Holstein Kiel,1,3,3.93001,2.10407
2024,2025-05-09,Wolfsburg,Hoffenheim,2,2,1.36763,1.10881
2024,2025-05-10,Holstein Kiel,Freiburg,1,2,0.974297,2.01558
2024,2025-05-17,Hoffenheim,Bayern Munich,0,4,0.661398,2.21427
2024,2025-05-17,Augsburg,Union Berlin,1,2,1.57932,1.14135
2025,2025-08-23,Freiburg,Augsburg,1,3,2.27247,1.30191
2025,2025-08-30,Augsburg,Bayern Munich,2,3,0.506028,3.37523
2025,2025-09-13,Union Berlin,Hoffenheim,2,4,3.0814,3.34084
2025,2025-09-20,Hoffenheim,Bayern Munich,1,4,1.03716,2.7142
2025,2025-09-20,Werder Bremen,Freiburg,0,3,1.27257,2.36315
2025,2025-09-26,Bayern Munich,Werder Bremen,4,0,4.31859,0.298618
2025,2025-09-28,Freiburg,Hoffenheim,1,1,1.2587,2.24224
2025,2025-10-04,Augsburg,Wolfsburg,3,1,1.75326,1.22584
2025,2025-10-24,Werder Bremen,Union Berlin,1,0,1.1444,0.487613
2025,2025-11-01,Union Berlin,Freiburg,0,0,1.34842,1.16519
2025,2025-11-02,Wolfsburg,Hoffenheim,2,3,1.40117,1.74291
2025,2025-11-07,Werder Bremen,Wolfsburg,2,1,1.69456,0.676326
2025,2025-11-08,Union Berlin,Bayern Munich,2,2,1.02778,1.34246
2025,2025-11-22,Bayern Munich,Freiburg,6,2,3.13858,0.516966
2025,2025-11-29,Hoffenheim,Augsburg,3,0,1.79612,0.655496
2025,2025-12-06,Wolfsburg,Union Berlin,3,1,0.929936,2.01932
2025,2025-12-20,Augsburg,Werder Bremen,0,0,1.49411,0.90686
2025,2025-12-20,Wolfsburg,Freiburg,3,4,1.30583,2.65964
